Year,N (Nitrogen),P?O? (Phosphorus),K?O (Potash),Total (N+P?O?+K?O)
1950-51,55,8.8,6,69.8
1951-52,58.7,6.9,,65.6
1952-53,57.8,4.6,3.3,65.7
1953-54,89.3,8.3,7.5,105
1954-55,94.8,15,11.1,120.9
1955-56,107.5,13,10.3,130.8
1956-57,123.1,15.9,14.8,153.7
1957-58,149,21.9,12.8,183.7
1958-59,172,29.5,22.4,223.8
1959-60,229.3,53.9,21.3,304.6
1960-61,211.7,53.1,29,293.8
1961-62,249.8,60.5,28,338.3
1962-63,333,82.8,36.4,452.2
1963-64,376.1,116.5,50.6,543.2
1964-65,555.2,148.7,69.3,773.2
1965-66,574.8,132.5,77.3,784.6
1966-67,737.8,248.6,114.2,1100.6
1967-68,1034.6,334.8,169.6,1539
1968-69,1208.6,382.1,170,1760.7
1969-70,1356,416,210,1982
1970-71,1479.3,541,236.3,2256.6
1971-72,1798,558.2,300.6,2656.8
1972-73,1839,581.3,347.6,2767.9
1973-74,1829,649.7,359.8,2838.6
1974-75,1765.7,471.5,336.1,2573.3
1975-76,2148.6,466.8,278.3,2893.7
1976-77,2456.9,634.7,319.2,3410.9
1977-78,2913,866.6,506.2,4285.8
1978-79,3419.5,1106,591.5,5116.9
1979-80,3498.1,1150.9,606.4,5255.4
1980-81,3678.1,1213.6,623.9,5515.6
1981-82,4068.7,1322.3,676.2,6067.2
1982-83,4224.2,1435.9,726.5,6386.6
1982-83 (Apr-Mar),4242.5,1432.7,726.3,6401.4
1983-84,5204.4,1730.3,775.4,7710.1
1984-85,5486.1,1886.4,838.5,8211
1985-86,5660.8,2005.2,808.1,8474.1
1986-87,5716,2078.9,850,8644.9
1987-88,5716.8,2187.1,880.5,8784.3
1988-89,7251,2720.7,1068.4,11040.1
1989-90,7385.9,3014.2,1168,11568.2
1990-91,7997.2,3221,1328,12546.2
1991-92,8046.3,3321.2,1360.6,12728
1992-93,8426.8,2843.8,883.9,12154.5
1993-94,8788.3,2669.3,908.7,12366.3
1994-95,9507.1,2931.7,1124.8,13563.6
1995-96,9822.8,2897.5,1155.8,13876.2
1996-97,10301.8,2976.8,1029.6,14308.1
1997-98,10901.8,3913.6,1372.5,16187.8
1998-99,11353.8,4112.2,1331.5,16797.5
1999-2000,11592.5,4797.9,1678.4,18068.9
2000-01,10920.2,4214.6,1567.5,16702.3
2001-02,11310.2,4382.4,1667.1,17359.7
2002-03,10474.1,4018.8,1601.2,16094.1
2003-04,11077,4124.3,1597.9,16799.1
2004-05,11713.9,4623.8,2060.7,18398.4
2005-06,12723.3,5203.7,2413.3,20340.3
2006-07,13772.9,5543.3,2334.8,21651
2007-08,14419.1,5514.7,2636.3,22570.1
2008-09,15090.5,6506.2,3312.6,24909.3
2009-10,15580,7274,3632.4,26486.4
2010-11,16558.2,8049.7,3514.3,28122.2
2011-12,17300.3,7914.3,2575.5,27790
2012-13,16820.9,6653.4,2061.8,25536.2
2013-14,16750.1,5633.5,2098.9,24482.4
2014-15,16949.6,6098.9,2532.9,25581.3
2015-16,17372.3,6978.8,2401.5,26752.6
2016-17,16735.9,6705.5,2508.5,25949.9
2017-18,16959.3,6854.4,2779.7,26593.4
2018-19,17637.8,6910.2,2680.3,27228.2
2019-20,19101.3,7662,2607,29370.4
2020-21,20404,8977.9,3153.7,32535.6
2021-22,19438.3,7828.5,2529.5,29796.3
2022-23,20206.3,7921.5,1715.8,29843.6
2023-24 (P),20456.4,8306.6,1878.6,30641.6
